Наименование файла;Наименование товара;Категория продукта;Цена
IMG_5937;Мак Изд Альпина Ракушечки мал 0,9кг;Макаронные изделия;54.05
IMG_5789;Крупа Ячневая Безыменская 800г ;Ячневая крупа;35.0
IMG_5908;Крупа Горох Агро Альянс Классик шлиф 800г;Горох;65.0
IMG_5874;Крупа Геркулес ААКаскад 400г;Овсяная крупа;34.0
IMG_20240408 (2);Свекла (вес);Свекла;42.5
IMG_5883;Крупа Рис ВоЛожка длин/зерн пропар 800г;Рис;150.0
IMG_5878;Крупа Геркулес ААКаскад 400г;Овсяная крупа;34.0
IMG_20240408 (26);Урожай хлеб 500г Монастырский  под овал нарезанный уп;Хлеб;37.0
IMG_5963;Мак Изд Союзпищепром Виток 450г;Макаронные изделия;68.0
IMG_5870;Крупа Рис Увелка Длин/Пропар в/п 5*80г;Рис;120.0
IMG_5888;Крупа Кукурузная ВоЛожка Южная 700г;Кукурузная крупа;55.0
IMG_20240408 (8);Лопатка (вес) свиная б/к;Свинина;359.0
IMG_20240408 (41);Печенье ДонКо Со Сливочным Вкусом вес;Печенье;179.0
IMG_5999;Масло Бокадо Оливковое 500мл;Масло;886.0
IMG_5951;Мак Изд Кардинале Ракушка 400г;Макаронные изделия;66.0
IMG_20240408 (47);Скумбрия с/м;Рыба;422.0
IMG_5917;Мак Изд Урожай Ракушки в/с 1кг;Макаронные изделия;56.7
IMG_5940;Мак Изд Аида Мэззи Гомити Рожок 450г;Макаронные изделия;85.0
IMG_5995;Масло Благо Кукурузное раф/дез 0,9л пэт;Масло;155.0
IMG_20240408 (16);Бабушкина крынка творог 400г Деревенский 5% пакет;Творог;238.0
IMG_5960;Мак Изд Федеричи Перья Рифлёные 500г;Макаронные изделия;90.0
IMG_5966;Мак Изд Макфа Алфавит 300г;Макаронные изделия;64.0
IMG_5827;Крупа Кукурузная Агрокультура 600г;Кукурузная крупа;56.0
IMG_5891;Крупа Рис АА Классик Краснодарск 800г;Рис;138.0
IMG_5863;Крупа Ячневая Увелка 600г;Ячневая крупа;51.0
IMG_6026;Хлеб Урожай Тостовый Пшен 350г форм уп нар;Хлеб;46.0
IMG_20240408 (15);Володарушка молоко 900г пастер 2,5% п/э;Молоко пастеризованное;68.0
IMG_5866;Крупа Манная Увелка Отборная 700г;Манная крупа;63.0
IMG_5923;Мак Изд Алмак Перья Рифленые в/с 400г;Макаронные изделия;59.0
IMG_5974;Мак Изд Макфа Королевские Ракушки 300г;Макаронные изделия;83.0
IMG_5892;Крупа Рис Агро Альянс длин/зерн 800г;Рис;150.0
IMG_5851;Крупа Гречневая Макфа Ядрица Экстра 400г;Гречневая крупа;86.0
IMG_5752;Лимон;Лимон;95.0
IMG_5913;Мак Изд Козачок Спираль в/с 800г;Макаронные изделия;49.2
IMG_5766;Крупа Рис Просто Краснодарский 8*62,5г;Рис;132.0
IMG_5881;Крупа Пшено ААКаскад 900г;Пшено;65.0
IMG_20240408 (57);Сыр Голандский  ;Сыр;763.0
IMG_5774;Крупа Рис Националь Премиум Суши 500г;Рис;102.0
IMG_6017;Хлеб Урожай Боярский форм 300г уп;Хлеб;45.0
IMG_5962;Мак Изд Федеричи Спиральки 500г;Макаронные изделия;90.0
IMG_6020;Батон Урожай Нарезной 500г уп нар;Хлеб;39.0
IMG_5760;Нектар Мой Апельсин 0,95л т/п;Нектар;100.0
IMG_5975;Мак Изд Макфа Лапша Широкая Волна 500г;Макаронные изделия;121.0
IMG_5809;Крупа Рис Лекфарма Адонис пропар 0,9кг;Рис;126.0
IMG_20240408 (42);Кефир Володарушка 2,5% 900г пл;Кефир;80.0
IMG_5761;Нектар Мой Гранат Виноград 0,95л т/п;Нектар;100.0
IMG_5836;Крупа Пшеничная Гудвилл Полтавская №4 400г к/уп;Пшеничная крупа;107.0
IMG_5792;Горох Безыменский Колотый 800г;Горох;41.0
IMG_5779;Крупа Рис Националь Феникс Бур/Красный 800г;Рис;164.0
IMG_5825;Крупа Рис Националь Золот/Пропар 900г;Рис;178.0
